Afganistan;Afghanistan
Pulau Marshal;Marshall Islands
Pulau Solomon;Solomon Islands
Qatar;Qatar
Republik Afrika Tengah;Central African Republic
Republik Ceko;Czech Republic
Republik Cina;Republic of China
Republik Demokratis Jerman;German Democratic Republic
Republik Demokratis Kongo;Democratic Republic of the Congo
Republik Dominika;Dominican Republic
Republik Kongo;Republic of the Congo
Republik Makedonia;Republic of Macedonia
Republik Rakyat Cina;People's Republic of China
Republik Timor Leste;Timor Leste
RRC;People's Republic of China
Rumania;Romania
Rusia;Russia
Rwanda;Rwanda
Sahara Barat;Western Sahara
Saint Helena;Saint Helena
Saint Kitts and Nevis;Saint Kitts and Nevis
Saint Kittset;Saint Kittset
Saint Lucia;Saint Lucia
Saint Vincent;Saint Vincent
Saint Vincent and the Grenadines;Saint Vincent and the Grenadines
Sainte-Hlene;Sainte-Hlene
Sainte-Lucie;Sainte-Lucie
Saint-Pierreet;Saint-Pierreet
Samoa;Samoa
Samoa Barat;Western Samoa
San Marino;San Marino
Saudi Arabia;Saudi Arabia
Selandia Baru;New Zealand
Senegal;Senegal
Serbia;Serbia
Sierra Leone;Sierra Leone
Singapura;Singapore
Siprus;Cyprus
Slovakia;Slovakia
Slovenia;Slovenia
Somalia;Somalia
Spanyol;Spain
Sri Lanka;Sri Lanka
SriLanka;SriLanka
St. Barthelemy;St. Barthelemy
St. Vincent-Grenadines;St. Vincent-Grenadines
Sudan;Sudan
Suriname;Suriname
Swedia;Sweden
Swiss;Switzerland
Syprus;Cyprus
Syria;Syria
Taiwan;Taiwan
Tajikistan;Tadjikistan
Tajikistan;Tajikistan
Tanzania;Tanzania
Thailand;Thailand
Tibet;Tibet
Timor Leste;Timor Leste
Timor Timur;East Timor
Trinidad dan Tobago;Trinidad and Tobago
Trinidad-Tobago;Trinidad-Tobago
Tunisia;Tunisia
Turki;Turkey
Turkmenistan;Turkmenistan
Tuvalu;Tuvalu
U K;U K
U S;U S
U S A;U S A
U S S R;U S S R
U.K.;U.K.
U.S.;U.S.
U.S.A.;U.S.A.
U.S.S.R.;U.S.S.R.
UEA;UAE
Uganda;Uganda
UK;UK
Uni Emirat Arab;UAE
Uruguay;Uruguay
US;US
Uzbekistan;Uzbekistan
Vatikan;Vatican
Venezuela;Venezuela
Vietnam;Vietnam
Virgin Islands;Virgin Islands
Wallis & Futuna ;Wallis & Futuna 
Wallis dan Futuna;Wallis and Futuna
West Bank;West Bank
Western Sahara;Western Sahara
Western Samoa;Western Samoa
Yaman;Yemen
Yugoslavia;Yugoslavia
Yunani;Greece
Zambia;Zambia
Zimbabwe;Zimbabwe
